7zip	23.01+dfsg-11
libtirpc-common	1.3.4+ds-1.1build1
libtirpc3t64	1.3.4+ds-1.1build1
libtraceevent1	1:1.8.2-1ubuntu2.1
libtraceevent1-plugin	1:1.8.2-1ubuntu2.1
libtracefs1	1.8.0-1ubuntu1
libtss2-mu-4.0.1-0t64	4.0.1-7.1ubuntu5.1
libtss2-sys1t64	4.0.1-7.1ubuntu5.1
libtss2-tcti-cmd0t64	4.0.1-7.1ubuntu5.1
libuchardet0	0.0.8-1build1
libudev1	255.4-1ubuntu8.11
libudisks2-0	2.10.1-6ubuntu1.3
libunistring5	1.1-2build1.1
libunwind8	1.6.2-3build1.1
libupower-glib3	1.90.3-1
liburcu8t64	0.14.0-3.1build1
liburi-perl	5.27-1
liburing2	2.5-1build1
libusb-1.0-0	2:1.0.27-1
libusbmuxd6	2.0.2-4build3
libutempter0	1.2.1-3build1
libuuid1	2.39.3-9ubuntu6.3
libuv1t64	1.48.0-1.1build1
libvolume-key1	0.3.12-7build2
libwebp7	1.3.2-0.4build3
libwebpdemux2	1.3.2-0.4build3
libwebpmux3	1.3.2-0.4build3
libwmflite-0.2-7	0.2.13-1.1build3
libwrap0	7.6.q-33
libx11-6	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libxau6	1:1.0.9-1build6
libxcb-render0	1.15-1ubuntu2
libxcb-shm0	1.15-1ubuntu2
libxcb1	1.15-1ubuntu2
libxdmcp6	1:1.1.3-0ubuntu6
libxext6	2:1.3.4-1build2
libxkbcommon0	1.6.0-1build1
libxml2	2.9.14+dfsg-1.3ubuntu3.6
libxmlb2	0.3.18-1
libxmlsec1t64	1.2.39-5build2
libxmuu1	2:1.1.3-3build2
libxpm4	1:3.5.17-1build2
libxrender1	1:0.9.10-1.1build1
libxslt1.1	1.1.39-0exp1ubuntu0.24.04.2
libxt6t64	1:1.2.1-1.2build1
libxtables12	1.8.10-3ubuntu2
libxxhash0	0.8.2-2build1
libyaml-0-2	0.2.5-1build1
libzip4t64	1.7.3-1.1ubuntu2
libzstd1	1.5.5+dfsg2-2build1.1
linux-base	4.5ubuntu9+24.04.1
linux-firmware	20240318.git3b128b60-0ubuntu2.21
linux-generic	6.8.0-88.89
